Instance,claspfolio
BF22_cpmp_20_5_80_16_60_9,1.6080
BF22_cpmp_20_5_80_16_60_6,137.4850
BF22_cpmp_20_5_80_16_60_7,47.9470
BF22_cpmp_20_5_80_16_60_4,36000.0000
BF2_cpmp_16_5_48_10_36_7,0.8080
BF2_cpmp_16_5_48_10_36_6,1323.0910
cv_data3-7-27,0.2000
BF2_cpmp_16_5_48_10_36_4,0.0040
BF2_cpmp_16_5_48_10_36_3,0.0040
BF2_cpmp_16_5_48_10_36_2,36000.0000
BF2_cpmp_16_5_48_10_36_1,0.0160
cv_data3-7-22,0.0320
LC2b_lc2b_3,0.5160
LC2b_lc2b_2,36000.0000
LC2b_lc2b_1,652.2970
LC2b_lc2b_7,779.8050
LC2b_lc2b_6,0.3080
LC2b_lc2b_5,10.7290
BF2_cpmp_16_5_48_10_36_8,0.0520
BF9_cpmp_16_8_77_16_47_8,36000.0000
BF8_cpmp_16_5_64_26_48_20,36000.0000
BF2_cpmp_16_5_48_10_36_5,0.0000
cv_data5-8-39,1526.9030
cv_data5-8-38,1874.0970
BF22_cpmp_20_5_80_16_60_11,36000.0000
cv_data5-8-36,1556.5490
BF22_cpmp_20_5_80_16_60_16,36000.0000
cv_data3-5-13,0.0760
LC3a_lc3a_10,0.0480
cv_data4-7-37,35.1740
cv_data4-7-36,1.3080
cv_data4-7-35,6.5640
cv_data4-7-34,0.1280
cv_data4-7-33,33.6660
cv_data4-7-32,57.2240
cv_data4-7-31,15.4530
cv_data4-7-30,0.3520
cv_data4-7-39,129.4680
cv_data4-7-38,0.4880
